Title,Year,Type,Status
3 Body Problem,,tv,watching
3%,,tv,dropped
30 Coins,,tv,dropped
30 Rock,,tv,completed
3Below: Tales of Arcadia,,tv,completed
A Knight of the Seven Kingdoms,,tv,watching
A Man on the Inside,,tv,watching
Abbott Elementary,,tv,dropped
Acapulco,,tv,completed
Adult Material,,tv,completed
After Life,,tv,completed
Agatha All Along,,tv,completed
Alice in Borderland,,tv,completed
Alien: Earth,,tv,watching
Alpha Males,,tv,dropped
Amazing Stories,,tv,completed
Animal Control,,tv,dropped
Another Life,,tv,dropped
Arrested Development,,tv,completed
Arthdal Chronicles,,tv,dropped
Ash vs Evil Dead,,tv,completed
Asterix: The Big Fight,,tv,completed
Atlanta,,tv,dropped
Avatar: The Last Airbender,,tv,completed
Avatar: The Last Airbender (2024),,tv,watching
Awkward,,tv,dropped
Beast Games,,tv,completed
Beef,,tv,dropped
Better Call Saul,,tv,completed
Better Than Us,,tv,dropped
Black Books,,tv,completed
Black Mirror,,tv,watching
Black Monday,,tv,watching
Blood Machines,,tv,completed
Blue Eye Samurai,,tv,watching
Bob's Burgers,,tv,dropped
Bonding,,tv,completed
Brassic,,tv,completed
Brave New World,,tv,completed
Breaking Bad,,tv,completed
Britannia,,tv,completed
Catastrophe,,tv,completed
Chad Powers,,tv,watching
Chappelle's Show,,tv,completed
Chernobyl,,tv,completed
Chief of War,,tv,dropped
Chilling Adventures of Sabrina,,tv,dropped
Colin from Accounts,,tv,watching
Community,,tv,completed
Community Squad,,tv,completed
Conan Without Borders,,tv,completed
Constellation,,tv,dropped
Corporate,,tv,dropped
Counterpart,,tv,dropped
Cowboy Bebop (2021),,tv,completed
Crashing,,tv,completed
Culinary Class Wars,,tv,watching
Cunk on Earth,,tv,completed
Daisy Jones & The Six,,tv,completed
Dandadan,,tv,dropped
Daredevil: Born Again,,tv,dropped
Dark,,tv,completed
Dark Matter,,tv,watching
Dark Tourist,,tv,completed
Dave,,tv,completed
Deadly Class,,tv,completed
Death Note,,tv,completed
Deli Boys,,tv,dropped
Derek,,tv,completed
Derry Girls,,tv,completed
Devil May Cry,,tv,dropped
Devs,,tv,completed
Dirk Gently's Holistic Detective Agency,,tv,completed
Eastbound & Down,,tv,completed
